               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034685,             0.10784,           0.0047082,              0.7736,             0.56829,             0.67652,             0.47658,            0.033588,            0.080613,           0.0044478,            0.006535,            0.006535,            0.006535
                  37,            0.036233,             0.10281,           0.0048351,             0.77471,             0.57073,             0.68642,             0.49272,            0.030984,            0.076771,           0.0045128,            0.006436,            0.006436,            0.006436
                  38,            0.034292,             0.10897,           0.0047008,             0.77219,             0.57173,             0.71068,             0.51958,            0.030996,            0.077368,           0.0042743,            0.006337,            0.006337,            0.006337
                  39,            0.032873,             0.10257,           0.0042152,             0.76539,               0.567,             0.69689,             0.52627,            0.029851,            0.071179,           0.0043641,            0.006238,            0.006238,            0.006238
                  40,            0.033647,             0.10167,           0.0042262,             0.75589,             0.56559,             0.65468,             0.48473,            0.031038,            0.074323,           0.0044775,            0.006139,            0.006139,            0.006139
                  41,            0.033705,             0.10208,           0.0037537,              0.7486,             0.56798,             0.67634,              0.4771,             0.03071,            0.072174,           0.0043985,             0.00604,             0.00604,             0.00604
                  42,            0.032863,               0.101,           0.0041018,             0.76221,             0.56267,             0.67303,             0.49782,            0.031484,            0.074079,           0.0048499,            0.005941,            0.005941,            0.005941
                  43,            0.032891,             0.10608,           0.0046561,             0.77494,             0.58869,             0.67484,             0.51754,            0.029926,            0.073871,           0.0043479,            0.005842,            0.005842,            0.005842
                  44,            0.032295,            0.099737,           0.0041989,             0.77676,             0.55523,             0.64805,             0.45973,            0.031309,            0.074966,           0.0045223,            0.005743,            0.005743,            0.005743
                  45,            0.032253,             0.10022,           0.0041356,             0.80151,             0.54874,             0.63127,             0.47977,            0.029251,            0.071091,           0.0045169,            0.005644,            0.005644,            0.005644
                  46,            0.033059,              0.1031,           0.0047266,             0.84105,             0.54892,             0.62143,             0.44357,            0.030841,            0.072446,           0.0043272,            0.005545,            0.005545,            0.005545
                  47,            0.032409,             0.10279,           0.0036849,             0.85263,              0.5488,             0.63496,             0.46664,            0.030454,            0.074651,           0.0043237,            0.005446,            0.005446,            0.005446
